ID;Pop;Pharmacies;lat;lng
Cerrillos;89544;12;-33.5;-70.71666667
Cerro Navia;158670;16;-33.422;-70.735
Conchalí;140988;17;-33.38;-70.675
El Bosque;196166;29;-33.567;-70.675
Estación Central;148400;42;-33.459;-70.699
Huechuraba;103549;13;-33.368;-70.634
Independencia;89493;24;-33.413;-70.666
La Cisterna;93480;24;-33.529;-70.663
La Florida;390403;70;-33.525;-70.538
La Granja;144260;11;-33.53333333;-70.625
La Pintana;217034;11;-33.583;-70.634
La Reina;101518;24;-33.443;-70.532
Las Condes;290869;116;-33.41666667;-70.58333333
Lo Barnechea;115313;24;-33.35;-70.51666667
Lo Espejo;120148;6;-33.522;-70.687
Lo Prado;113748;17;-33.445;-70.726
Macul;125855;11;-33.487;-70.604
Maipú;571632;89;-33.51666667;-70.76666667
Ñuñoa;242287;76;-33.454;-70.604
Pedro Aguirre Cerda;122600;16;-33.46633333;-70.63366667
Peñalolén;246871;35;-33.48618889;-70.53333333
Providencia;155166;95;-33.435;-70.616
Pudahuel;244395;35;-33.43333333;-70.71666667
Puente Alto;647428;78;-33.616;-70.57
Quilicura;248306;27;-33.361;-70.729
Quinta Normal;117930;13;-33.427;-70.699
Recoleta;172820;38;-33.406;-70.64
Renca;155465;14;-33.398;-70.723
San Joaquín;105409;11;-33.491;-70.628
San Miguel;122562;25;-33.48583333;-70.64944444
San Ramón;100025;10;-33.53333333;-70.64166667
Santiago;430114;196;-33.43722222;-70.65722222
Vitacura;89085;40;-33.4;-70.6
